2026-01-20 21:34:46,941 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-20 21:34:46,941 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-20 21:34:46,941 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
2026-01-20 22:29:31,801 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-20 22:29:31,801 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-20 22:29:31,801 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
2026-01-20 22:29:55,324 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-20 22:29:55,324 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-20 22:29:55,324 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
2026-01-20 22:33:28,266 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-20 22:33:28,266 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-20 22:33:28,266 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
2026-01-21 10:52:50,951 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-21 10:52:50,951 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-21 10:52:50,951 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
2026-01-21 11:17:26,841 - WARNING - Rejected row 3: {'agent_id': 'A002', 'retailer_id': 'R003', 'transaction_amount': nan, 'date': '2024-01-17'}
2026-01-21 11:17:26,841 - WARNING - Rejected row 4: {'agent_id': 'A003', 'retailer_id': 'R002', 'transaction_amount': 'invalid', 'date': '2024-01-18'}
2026-01-21 11:17:26,841 - WARNING - Rejected row 5: {'agent_id': nan, 'retailer_id': 'R001', 'transaction_amount': '500.00', 'date': '2024-01-19'}
